Element Name,Occupation_Count
Office suite software,385
Spreadsheet software,339
Presentation software,196
Electronic mail software,187
Word processing software,81
Object or component oriented development software,77
Data base user interface and query software,65
Computer aided design CAD software,43
Analytical or scientific software,43
Development environment software,42
Enterprise resource planning ERP software,40
Computer based training software,31
Graphics or photo imaging software,28
Operating system software,25
Geographic information system,25
Medical software,24
Business intelligence and data analysis software,23
Customer relationship management CRM software,18
Web platform development software,17
File versioning software,14
Project management software,14
Document management software,12
Content workflow software,12
Desktop publishing software,12
Enterprise application integration software,11
Network security and virtual private network VPN equipment software,11
Video creation and editing software,10
Application server software,10
Video conferencing software,8
Data mining software,8
Internet directory services software,8
Materials requirements planning logistics and supply chain software,7
Inventory management software,7
Accounting software,7
Human resources software,7
Configuration management software,7
Graphical user interface development software,6
Data base management system software,6
Program testing software,5
Web page creation and editing software,5
Cloud-based management software,5
Internet browser software,4
Expert system software,4
Procurement software,4
Object oriented data base management software,4
Process mapping and design software,3
Enterprise system management software,3
Compliance software,3
Industrial control software,2
Transaction security and virus protection software,2
Compiler and decompiler software,2
Information retrieval or search software,2
Computer aided manufacturing CAM software,2
Metadata management software,2
Time accounting software,1
Authentication server software,1
Map creation software,1
Cloud-based protection or security software,1
Transaction server software,1
Mobile location based services software,1
Tax preparation software,1
Point of sale POS software,1
Switch or router software,1
Music or sound editing software,1
Sales and marketing software,1
Risk management data and analysis software,1
Network monitoring software,1
Data base reporting software,1
Procedure management software,1
