Department,Job Role,Employee_Count,Avg_Performance_Score,Avg_KPI_Score,Avg_Attendance,Avg_Task_Completion,Avg_Training_Hours,Promotion_Eligible_Count,Promotion_Eligibility_Rate
Finance,Accountant,355,76.5718309859155,77.24352112676057,88.16633802816901,85.21833802816901,15.211267605633802,61,17.183098591549296
Finance,Auditor,333,74.36036036036036,77.96762762762764,87.34900900900901,84.68705705705706,15.027027027027026,39,11.711711711711711
Finance,Financial Analyst,328,74.4390243902439,76.97024390243902,87.08573170731707,84.89192073170732,16.213414634146343,44,13.414634146341465
HR,Employee Relations,344,75.31976744186046,77.19674418604652,86.95968023255814,85.35319767441861,14.840116279069768,49,14.244186046511627
HR,HR Manager,325,75.96,77.69470769230769,87.13255384615385,86.16283076923077,14.12,49,15.076923076923077
HR,Recruitment Specialist,341,76.20821114369501,78.10791788856305,87.72730205278592,84.7150146627566,14.785923753665688,56,16.422287390029325
IT,Cybersecurity Specialist,345,75.05217391304348,77.20115942028986,87.88733333333333,84.83710144927537,15.171014492753622,46,13.333333333333334
IT,Data Analyst,311,75.44694533762058,77.62453376205788,87.66360128617363,83.77102893890675,14.109324758842444,48,15.434083601286176
IT,Software Engineer,318,73.52830188679245,77.5351572327044,87.41528301886792,85.80594339622641,14.572327044025156,35,11.0062893081761
Marketing,Content Strategist,309,74.57928802588997,77.4362783171521,86.98297734627832,84.7984789644013,14.611650485436893,52,16.828478964401295
Marketing,Marketing Executive,330,74.57878787878788,76.49745454545454,87.34512121212121,85.0320303030303,15.251515151515152,41,12.424242424242424
Marketing,SEO Specialist,326,72.4478527607362,76.81223926380369,87.42736196319018,85.0408282208589,15.263803680981596,37,11.349693251533742
Sales,Account Manager,343,74.05539358600583,77.33591836734695,87.17930029154519,84.73982507288629,14.86588921282799,45,13.119533527696792
Sales,Business Development,348,75.183908045977,77.41002873563218,88.26606321839081,84.56094827586206,14.71264367816092,49,14.080459770114942
Sales,Sales Executive,344,73.76162790697674,77.74223837209303,87.30052325581396,85.04755813953489,14.32267441860465,44,12.790697674418606
