Element Name,Role_Count,Essential_Count,Software_Count,Priority,Recommendation
Writing,910,910,0,HIGH,Develop Writing Skills
Learning Strategies,910,910,0,HIGH,Develop Learning Strategies Skills
Monitoring,910,910,0,HIGH,Develop Monitoring Skills
Reading Comprehension,910,910,0,HIGH,Develop Reading Comprehension Skills
Critical Thinking,910,910,0,HIGH,Develop Critical Thinking Skills
Speaking,910,910,0,HIGH,Develop Speaking Skills
Mathematics,910,910,0,HIGH,Develop Mathematics Skills
Science,910,910,0,HIGH,Develop Science Skills
Active Learning,910,910,0,HIGH,Develop Active Learning Skills
Active Listening,910,910,0,HIGH,Develop Active Listening Skills
Spreadsheet software,859,0,859,HIGH,Develop Spreadsheet software Skills
Office suite software,818,0,818,HIGH,Develop Office suite software Skills
Word processing software,789,0,789,HIGH,Develop Word processing software Skills
Electronic mail software,735,0,735,HIGH,Develop Electronic mail software Skills
Presentation software,633,0,633,HIGH,Develop Presentation software Skills
Data base user interface and query software,632,0,632,HIGH,Develop Data base user interface and query software Skills
Internet browser software,470,0,470,HIGH,Develop Internet browser software Skills
Analytical or scientific software,372,0,372,HIGH,Develop Analytical or scientific software Skills
Enterprise resource planning ERP software,367,0,367,HIGH,Develop Enterprise resource planning ERP software Skills
Operating system software,342,0,342,HIGH,Develop Operating system software Skills
Project management software,304,0,304,HIGH,Develop Project management software Skills
Document management software,293,0,293,HIGH,Develop Document management software Skills
Graphics or photo imaging software,279,0,279,HIGH,Develop Graphics or photo imaging software Skills
Computer aided design CAD software,245,0,245,HIGH,Develop Computer aided design CAD software Skills
Object or component oriented development software,211,0,211,HIGH,Develop Object or component oriented development software Skills
Web page creation and editing software,205,0,205,HIGH,Develop Web page creation and editing software Skills
Development environment software,200,0,200,HIGH,Develop Development environment software Skills
Medical software,190,0,190,HIGH,Develop Medical software Skills
Calendar and scheduling software,178,0,178,HIGH,Develop Calendar and scheduling software Skills
Accounting software,171,0,171,HIGH,Develop Accounting software Skills
Desktop publishing software,167,0,167,HIGH,Develop Desktop publishing software Skills
Process mapping and design software,154,0,154,HIGH,Develop Process mapping and design software Skills
Web platform development software,152,0,152,HIGH,Develop Web platform development software Skills
Geographic information system,142,0,142,HIGH,Develop Geographic information system Skills
Customer relationship management CRM software,142,0,142,HIGH,Develop Customer relationship management CRM software Skills
Video creation and editing software,140,0,140,HIGH,Develop Video creation and editing software Skills
Information retrieval or search software,140,0,140,HIGH,Develop Information retrieval or search software Skills
Inventory management software,138,0,138,HIGH,Develop Inventory management software Skills
Industrial control software,138,0,138,HIGH,Develop Industrial control software Skills
Video conferencing software,117,0,117,HIGH,Develop Video conferencing software Skills
Enterprise application integration software,117,0,117,HIGH,Develop Enterprise application integration software Skills
Business intelligence and data analysis software,117,0,117,HIGH,Upskill in Data Analysis
Computer based training software,110,0,110,HIGH,Develop Computer based training software Skills
Data base management system software,109,0,109,HIGH,Develop Data base management system software Skills
Financial analysis software,94,0,94,MEDIUM,Develop Financial analysis software Skills
Data base reporting software,92,0,92,MEDIUM,Develop Data base reporting software Skills
Human resources software,89,0,89,MEDIUM,Develop Human resources software Skills
Map creation software,87,0,87,MEDIUM,Develop Map creation software Skills
Cloud-based data access and sharing software,84,0,84,MEDIUM,Upskill in Cloud Computing
Desktop communications software,83,0,83,MEDIUM,Develop Desktop communications software Skills
Time accounting software,75,0,75,MEDIUM,Develop Time accounting software Skills
Optical character reader OCR or scanning software,66,0,66,MEDIUM,Develop Optical character reader OCR or scanning software Skills
Instant messaging software,62,0,62,MEDIUM,Develop Instant messaging software Skills
Facilities management software,60,0,60,MEDIUM,Develop Facilities management software Skills
Program testing software,55,0,55,MEDIUM,Develop Program testing software Skills
Application server software,54,0,54,MEDIUM,Develop Application server software Skills
Expert system software,54,0,54,MEDIUM,Develop Expert system software Skills
File versioning software,54,0,54,MEDIUM,Develop File versioning software Skills
Cloud-based management software,52,0,52,MEDIUM,Upskill in Cloud Computing
Transaction security and virus protection software,51,0,51,MEDIUM,Develop Transaction security and virus protection software Skills
Materials requirements planning logistics and supply chain software,50,0,50,MEDIUM,Develop Materials requirements planning logistics and supply chain software Skills
Data mining software,49,0,49,LOW,Develop Data mining software Skills
Sales and marketing software,46,0,46,LOW,Develop Sales and marketing software Skills
Content workflow software,46,0,46,LOW,Develop Content workflow software Skills
Configuration management software,44,0,44,LOW,Develop Configuration management software Skills
Enterprise system management software,43,0,43,LOW,Develop Enterprise system management software Skills
Compliance software,43,0,43,LOW,Develop Compliance software Skills
Point of sale POS software,43,0,43,LOW,Develop Point of sale POS software Skills
Mobile location based services software,42,0,42,LOW,Develop Mobile location based services software Skills
Object oriented data base management software,42,0,42,LOW,Develop Object oriented data base management software Skills
Access software,42,0,42,LOW,Develop Access software Skills
Computer aided manufacturing CAM software,42,0,42,LOW,Develop Computer aided manufacturing CAM software Skills
Billing and invoicing software,42,0,42,LOW,Develop Billing and invoicing software Skills
Communications server software,41,0,41,LOW,Develop Communications server software Skills
Transaction server software,39,0,39,LOW,Develop Transaction server software Skills
Network monitoring software,35,0,35,LOW,Develop Network monitoring software Skills
Graphical user interface development software,34,0,34,LOW,Develop Graphical user interface development software Skills
Network security and virtual private network VPN equipment software,32,0,32,LOW,Develop Network security and virtual private network VPN equipment software Skills
Multi-media educational software,32,0,32,LOW,Develop Multi-media educational software Skills
Metadata management software,28,0,28,LOW,Develop Metadata management software Skills
Requirements analysis and system architecture software,28,0,28,LOW,Develop Requirements analysis and system architecture software Skills
Network conferencing software,26,0,26,LOW,Develop Network conferencing software Skills
Music or sound editing software,26,0,26,LOW,Develop Music or sound editing software Skills
Backup or archival software,26,0,26,LOW,Develop Backup or archival software Skills
Internet protocol IP multimedia subsystem software,26,0,26,LOW,Develop Internet protocol IP multimedia subsystem software Skills
Network security or virtual private network VPN management software,24,0,24,LOW,Develop Network security or virtual private network VPN management software Skills
Clustering software,24,0,24,LOW,Develop Clustering software Skills
Portal server software,24,0,24,LOW,Develop Portal server software Skills
Storage networking software,22,0,22,LOW,Develop Storage networking software Skills
Voice recognition software,19,0,19,LOW,Develop Voice recognition software Skills
Procurement software,19,0,19,LOW,Develop Procurement software Skills
Helpdesk or call center software,19,0,19,LOW,Develop Helpdesk or call center software Skills
Route navigation software,17,0,17,LOW,Develop Route navigation software Skills
Categorization or classification software,16,0,16,LOW,Develop Categorization or classification software Skills
Internet directory services software,15,0,15,LOW,Develop Internet directory services software Skills
Administration software,15,0,15,LOW,Develop Administration software Skills
Device drivers or system software,14,0,14,LOW,Develop Device drivers or system software Skills
Filesystem software,13,0,13,LOW,Develop Filesystem software Skills
Compiler and decompiler software,12,0,12,LOW,Develop Compiler and decompiler software Skills
Switch or router software,11,0,11,LOW,Develop Switch or router software Skills
Platform interconnectivity software,11,0,11,LOW,Develop Platform interconnectivity software Skills
Label making software,11,0,11,LOW,Develop Label making software Skills
Mobile messaging service software,11,0,11,LOW,Develop Mobile messaging service software Skills
Charting software,10,0,10,LOW,Develop Charting software Skills
Risk management data and analysis software,10,0,10,LOW,Develop Risk management data and analysis software Skills
Cloud-based protection or security software,10,0,10,LOW,Upskill in Cloud Computing
Authentication server software,9,0,9,LOW,Develop Authentication server software Skills
Pattern design software,9,0,9,LOW,Develop Pattern design software Skills
Procedure management software,8,0,8,LOW,Develop Procedure management software Skills
Tax preparation software,7,0,7,LOW,Develop Tax preparation software Skills
Spell checkers,6,0,6,LOW,Develop Spell checkers Skills
Library software,6,0,6,LOW,Develop Library software Skills
WAN switching software and firmware,5,0,5,LOW,Develop WAN switching software and firmware Skills
LAN software,5,0,5,LOW,Develop LAN software Skills
Network operation system software,4,0,4,LOW,Develop Network operation system software Skills
Aviation ground support software,4,0,4,LOW,Develop Aviation ground support software Skills
Network connectivity terminal emulation software,4,0,4,LOW,Develop Network connectivity terminal emulation software Skills
Data conversion software,4,0,4,LOW,Develop Data conversion software Skills
Legal management software,3,0,3,LOW,Develop Legal management software Skills
Data compression software,3,0,3,LOW,Develop Data compression software Skills
Mobile operator specific application software,3,0,3,LOW,Develop Mobile operator specific application software Skills
Computer aided design CAD and computer aided manufacturing CAM system,3,0,3,LOW,Develop Computer aided design CAD and computer aided manufacturing CAM system Skills
Network operating system enhancement software,3,0,3,LOW,Develop Network operating system enhancement software Skills
Flight control software,3,0,3,LOW,Develop Flight control software Skills
Dictionary software,3,0,3,LOW,Develop Dictionary software Skills
Action games,3,0,3,LOW,Develop Action games Skills
Gateway software,2,0,2,LOW,Develop Gateway software Skills
Bar coding software,2,0,2,LOW,Develop Bar coding software Skills
Text to speech conversion software,2,0,2,LOW,Develop Text to speech conversion software Skills
Interactive voice response software,2,0,2,LOW,Develop Interactive voice response software Skills
License management software,2,0,2,LOW,Develop License management software Skills
Storage media loading software,2,0,2,LOW,Develop Storage media loading software Skills
Mailing and shipping software,2,0,2,LOW,Develop Mailing and shipping software Skills
Manufacturing execution system MES software,2,0,2,LOW,Develop Manufacturing execution system MES software Skills
Foreign language software,2,0,2,LOW,Develop Foreign language software Skills
Bridge software,1,0,1,LOW,Develop Bridge software Skills
Fax software,1,0,1,LOW,Develop Fax software Skills
Voice synthesizer and recognition software,1,0,1,LOW,Develop Voice synthesizer and recognition software Skills
Eye tracking software,1,0,1,LOW,Develop Eye tracking software Skills
Audit software,1,0,1,LOW,Develop Audit software Skills
Computer imaging software,1,0,1,LOW,Develop Computer imaging software Skills
Wireless software,1,0,1,LOW,Develop Wireless software Skills
Contact center software,1,0,1,LOW,Develop Contact center software Skills
Software defined networking/ virtualization software,1,0,1,LOW,Develop Software defined networking/ virtualization software Skills
