O*NET-SOC Code,Title,Element Name,Skill_Importance,Skill_Level,Skill_Type,Hot_Technology,In_Demand,Workplace_Example
11-1011.00,Chief Executives,Active Learning,3.75,4.5,Essential,,,
11-1011.00,Chief Executives,Active Listening,4.0,4.75,Essential,,,
11-1011.00,Chief Executives,Critical Thinking,4.38,4.75,Essential,,,
11-1011.00,Chief Executives,Learning Strategies,3.12,3.75,Essential,,,
11-1011.00,Chief Executives,Mathematics,3.25,3.5,Essential,,,
11-1011.00,Chief Executives,Monitoring,4.0,5.25,Essential,,,
11-1011.00,Chief Executives,Reading Comprehension,4.12,4.62,Essential,,,
11-1011.00,Chief Executives,Science,1.62,0.75,Essential,,,
11-1011.00,Chief Executives,Speaking,4.25,4.75,Essential,,,
11-1011.00,Chief Executives,Writing,4.12,4.38,Essential,,,
11-1011.03,Chief Sustainability Officers,Active Learning,3.75,3.88,Essential,,,
11-1011.03,Chief Sustainability Officers,Active Listening,4.0,4.0,Essential,,,
11-1011.03,Chief Sustainability Officers,Critical Thinking,4.12,4.12,Essential,,,
11-1011.03,Chief Sustainability Officers,Learning Strategies,3.38,3.75,Essential,,,
11-1011.03,Chief Sustainability Officers,Mathematics,2.88,3.12,Essential,,,
11-1011.03,Chief Sustainability Officers,Monitoring,3.75,4.0,Essential,,,
11-1011.03,Chief Sustainability Officers,Reading Comprehension,4.0,4.25,Essential,,,
11-1011.03,Chief Sustainability Officers,Science,2.12,1.88,Essential,,,
11-1011.03,Chief Sustainability Officers,Speaking,4.0,4.12,Essential,,,
11-1011.03,Chief Sustainability Officers,Writing,4.12,4.25,Essential,,,
11-1021.00,General and Operations Managers,Active Learning,3.62,3.75,Essential,,,
11-1021.00,General and Operations Managers,Active Listening,4.0,4.12,Essential,,,
11-1021.00,General and Operations Managers,Critical Thinking,3.88,3.88,Essential,,,
11-1021.00,General and Operations Managers,Learning Strategies,3.0,3.12,Essential,,,
11-1021.00,General and Operations Managers,Mathematics,2.62,2.75,Essential,,,
11-1021.00,General and Operations Managers,Monitoring,4.0,4.12,Essential,,,
11-1021.00,General and Operations Managers,Reading Comprehension,4.0,4.0,Essential,,,
11-1021.00,General and Operations Managers,Science,1.5,0.62,Essential,,,
11-1021.00,General and Operations Managers,Speaking,4.0,4.12,Essential,,,
11-1021.00,General and Operations Managers,Writing,3.5,3.88,Essential,,,
11-2011.00,Advertising and Promotions Managers,Active Learning,3.38,4.12,Essential,,,
11-2011.00,Advertising and Promotions Managers,Active Listening,4.12,4.12,Essential,,,
11-2011.00,Advertising and Promotions Managers,Critical Thinking,3.88,4.12,Essential,,,
11-2011.00,Advertising and Promotions Managers,Learning Strategies,3.0,3.12,Essential,,,
11-2011.00,Advertising and Promotions Managers,Mathematics,2.88,3.0,Essential,,,
11-2011.00,Advertising and Promotions Managers,Monitoring,3.5,4.12,Essential,,,
11-2011.00,Advertising and Promotions Managers,Reading Comprehension,3.75,4.0,Essential,,,
11-2011.00,Advertising and Promotions Managers,Science,1.5,0.5,Essential,,,
