O*NET-SOC Code,Title,Total_Skills,Essential_Skills,Software_Skills
15-1232.00,Computer User Support Specialists,82,10,72
15-1299.08,Computer Systems Engineers/Architects,79,10,69
15-1253.00,Software Quality Assurance Analysts and Testers,78,10,68
15-1211.00,Computer Systems Analysts,77,10,67
15-1252.00,Software Developers,77,10,67
15-1244.00,Network and Computer Systems Administrators,77,10,67
15-1241.00,Computer Network Architects,75,10,65
15-1242.00,Database Administrators,73,10,63
15-1299.09,Information Technology Project Managers,72,10,62
15-1243.00,Database Architects,69,10,59
15-1212.00,Information Security Analysts,69,10,59
13-1111.00,Management Analysts,69,10,59
11-3021.00,Computer and Information Systems Managers,68,10,58
15-1251.00,Computer Programmers,63,10,53
11-1021.00,General and Operations Managers,63,10,53
15-1254.00,Web Developers,62,10,52
15-1255.00,Web and Digital Interface Designers,62,10,52
15-2051.01,Business Intelligence Analysts,61,10,51
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",58,10,48
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",56,10,46
11-2021.00,Marketing Managers,56,10,46
43-4051.00,Customer Service Representatives,55,10,45
11-9111.00,Medical and Health Services Managers,54,10,44
15-1243.01,Data Warehousing Specialists,52,10,42
13-1071.00,Human Resources Specialists,51,10,41
41-9031.00,Sales Engineers,51,10,41
11-2022.00,Sales Managers,50,10,40
11-9041.00,Architectural and Engineering Managers,50,10,40
15-1231.00,Computer Network Support Specialists,50,10,40
13-1161.00,Market Research Analysts and Marketing Specialists,48,10,38
15-2031.00,Operations Research Analysts,48,10,38
13-2011.00,Accountants and Auditors,47,10,37
15-1221.00,Computer and Information Research Scientists,47,10,37
15-1299.05,Information Security Engineers,46,10,36
15-1299.01,Web Administrators,46,10,36
15-1299.03,Document Management Specialists,45,10,35
13-1082.00,Project Management Specialists,45,10,35
19-2099.01,Remote Sensing Scientists and Technologists,45,10,35
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,45,10,35
29-2072.00,Medical Records Specialists,43,10,33
27-3042.00,Technical Writers,43,10,33
41-1011.00,First-Line Supervisors of Retail Sales Workers,43,10,33
25-2023.00,"Career/Technical Education Teachers, Middle School",43,10,33
13-1199.07,Security Management Specialists,43,10,33
43-6011.00,Executive Secretaries and Executive Administrative Assistants,42,10,32
17-2112.02,Validation Engineers,42,10,32
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",42,10,32
15-1299.02,Geographic Information Systems Technologists and Technicians,42,10,32
13-1151.00,Training and Development Specialists,42,10,32
13-1199.06,Online Merchants,41,10,31
11-3012.00,Administrative Services Managers,40,10,30
